   freq [Hz]          Ohm  Phase [deg]
  400.000000     5.283849    12.478752
  401.000000     5.285203    12.519416
  402.000000     5.286460    12.558741
  403.000000     5.287815    12.605022
  404.000000     5.289298    12.645113
  405.000000     5.290866    12.690046
  406.000000     5.292161    12.731309
  407.000000     5.293740    12.777061
  408.000000     5.295086    12.819673
  409.000000     5.296831    12.863522
  410.000000     5.297959    12.908434
  411.000000     5.299897    12.954763
  412.000000     5.301296    12.997371
  413.000000     5.303179    13.043172
  414.000000     5.304653    13.086439
  415.000000     5.306367    13.129423
  416.000000     5.307991    13.175541
  417.000000     5.309713    13.217893
  418.000000     5.311492    13.261157
  419.000000     5.312907    13.303205
  420.000000     5.314490    13.346697
  421.000000     5.316115    13.390836
  422.000000     5.317569    13.434410
  423.000000     5.319104    13.478333
  424.000000     5.320790    13.523397
  425.000000     5.321994    13.565931
  426.000000     5.323524    13.618040
  427.000000     5.325349    13.662011
  428.000000     5.327060    13.709418
  429.000000     5.328703    13.757356
  430.000000     5.330657    13.804459
  431.000000     5.332415    13.849693
  432.000000     5.334498    13.898636
  433.000000     5.336380    13.941554
  434.000000     5.338299    13.987058
  435.000000     5.340237    14.032593
  436.000000     5.342138    14.077102
  437.000000     5.344159    14.120660
  438.000000     5.345971    14.166096
  439.000000     5.347959    14.209539
  440.000000     5.349864    14.254805
  441.000000     5.352048    14.300373
  442.000000     5.354051    14.341729
  443.000000     5.356050    14.382252
  444.000000     5.357971    14.427024
  445.000000     5.359465    14.468214
  446.000000     5.361622    14.511708
  447.000000     5.363325    14.555476
  448.000000     5.365131    14.599570
  449.000000     5.367064    14.640313
  450.000000     5.368825    14.682897
  451.000000     5.370202    14.726910
  452.000000     5.372000    14.773207
  453.000000     5.373783    14.817794
  454.000000     5.375608    14.864208
  455.000000     5.377304    14.909622
  456.000000     5.379284    14.958270
  457.000000     5.381219    15.004737
  458.000000     5.383339    15.049889
  459.000000     5.385539    15.097498
  460.000000     5.387469    15.142443
  461.000000     5.389543    15.188080
  462.000000     5.391921    15.234055
  463.000000     5.394066    15.280805
  464.000000     5.396301    15.325666
